INFO 2025-07-06 18:20:02,593 autoreload 22516 10936 Watching for file changes with StatReloader
INFO 2025-07-06 18:28:50,173 basehttp 22516 17064 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:28:50,177 basehttp 22516 15628 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:29:50,141 basehttp 22516 15628 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:29:50,141 basehttp 22516 12580 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:29:50,147 basehttp 22516 26212 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:29:50,151 basehttp 22516 17064 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:29:50,153 basehttp 22516 6472 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:29:50,156 basehttp 22516 18620 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:29:50,164 basehttp 22516 12580 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:29:50,167 basehttp 22516 26212 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:29:50,169 basehttp 22516 15628 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:29:50,169 basehttp 22516 17064 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:30:50,140 basehttp 22516 26212 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:30:50,145 basehttp 22516 17064 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:30:50,147 basehttp 22516 15628 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:30:50,148 basehttp 22516 12580 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:30:50,148 basehttp 22516 18620 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:30:50,167 basehttp 22516 26212 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:30:50,170 basehttp 22516 15628 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:30:50,170 basehttp 22516 12580 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:30:50,170 basehttp 22516 17064 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:30:50,174 basehttp 22516 18620 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:31:50,146 basehttp 22516 17064 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:31:50,146 basehttp 22516 18620 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:31:50,151 basehttp 22516 12580 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:31:50,152 basehttp 22516 15628 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:31:50,152 basehttp 22516 26212 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:31:50,164 basehttp 22516 6472 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:31:50,169 basehttp 22516 17064 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:31:50,172 basehttp 22516 12580 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:31:50,172 basehttp 22516 26212 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:31:50,172 basehttp 22516 18620 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:32:50,146 basehttp 22516 12580 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:32:50,146 basehttp 22516 17064 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:32:50,146 basehttp 22516 26212 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:32:50,156 basehttp 22516 18620 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:32:50,156 basehttp 22516 6472 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:32:50,170 basehttp 22516 17064 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:32:50,170 basehttp 22516 12580 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:32:50,177 basehttp 22516 18620 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:32:50,177 basehttp 22516 26212 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:32:50,177 basehttp 22516 6472 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:33:50,131 basehttp 22516 6472 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:33:50,138 basehttp 22516 18620 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:33:50,138 basehttp 22516 26212 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:33:50,146 basehttp 22516 12580 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:33:50,151 basehttp 22516 17064 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:33:50,159 basehttp 22516 15628 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:33:50,160 basehttp 22516 6472 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:33:50,166 basehttp 22516 18620 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:33:50,167 basehttp 22516 17064 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:33:50,170 basehttp 22516 26212 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:34:50,147 basehttp 22516 26212 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:34:50,147 basehttp 22516 18620 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:34:50,148 basehttp 22516 6472 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:34:50,159 basehttp 22516 17064 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:34:50,161 basehttp 22516 15628 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:34:50,171 basehttp 22516 26212 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:34:50,180 basehttp 22516 6472 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:34:50,180 basehttp 22516 12580 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:34:50,180 basehttp 22516 17064 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:34:50,181 basehttp 22516 18620 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:35:50,135 basehttp 22516 18620 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:35:50,135 basehttp 22516 17064 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:35:50,137 basehttp 22516 12580 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:35:50,142 basehttp 22516 6472 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:35:50,151 basehttp 22516 26212 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:35:50,164 basehttp 22516 18620 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:35:50,165 basehttp 22516 15628 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:35:50,165 basehttp 22516 17064 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:35:50,173 basehttp 22516 26212 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:35:50,173 basehttp 22516 12580 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:36:50,144 basehttp 22516 12580 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:36:50,145 basehttp 22516 15628 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:36:50,146 basehttp 22516 17064 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:36:50,155 basehttp 22516 26212 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:36:50,155 basehttp 22516 18620 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:36:50,164 basehttp 22516 15628 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:36:50,167 basehttp 22516 12580 "GET /api/messaging/messages/ HTTP/1.1" 200 52
